Pick 3 Evening,9,26,2013,2,G,*,B36,*,B42,*,B44,*,H,,B40,,B38,,B45,,0,3,2,5,N
Pick 3 Evening,9,26,2013,3,G,*,B36,*,B42,*,B44,*,H,,B40,,B38,,B45,,4,6,3,13,N
Pick 3 Evening,9,26,2013,4,G,*,B36,*,B42,*,B44,*,H,,B40,,B38,,B45,,4,5,8,17,N
Pick 3 Evening,9,27,2013,1,G,*,B37,*,B36,*,B38,*,H,,B33,,B44,,B40,,9,8,8,25,N
Pick 3 Evening,9,27,2013,2,G,*,B37,*,B36,*,B38,*,H,,B33,,B44,,B40,,5,0,1,6,N
Pick 3 Evening,9,27,2013,3,G,*,B37,*,B36,*,B38,*,H,,B33,,B44,,B40,,5,0,3,8,N
Pick 3 Evening,9,27,2013,4,G,*,B37,*,B36,*,B38,*,H,,B33,,B44,,B40,,5,7,0,12,N
Pick 3 Evening,9,28,2013,1,G,*,B43,*,B44,*,B36,*,H,,B32,,B35,,B31,,0,1,4,5,N
Pick 3 Evening,9,28,2013,2,G,*,B43,*,B44,*,B36,*,H,,B32,,B35,,B31,,9,0,5,14,N
Pick 3 Evening,9,28,2013,3,G,*,B43,*,B44,*,B36,*,H,,B32,,B35,,B31,,8,2,8,18,N
Pick 3 Evening,9,28,2013,4,G,*,B43,*,B44,*,B36,*,H,,B32,,B35,,B31,,5,4,1,10,N
Pick 3 Evening,9,30,2013,1,G,*,B43,*,B44,*,B38,*,H,,B40,,B41,,B32,,1,1,1,3,N
Pick 3 Evening,9,30,2013,2,G,*,B43,*,B44,*,B38,*,H,,B40,,B41,,B32,,3,5,2,10,N
Pick 3 Evening,9,30,2013,3,G,*,B43,*,B44,*,B38,*,H,,B40,,B41,,B32,,7,8,7,22,N
Pick 3 Evening,9,30,2013,4,G,*,B43,*,B44,*,B38,*,H,,B40,,B41,,B32,,5,9,7,21,N
Pick 3 Evening,10,1,2013,1,H,*,B43,*,B38,*,B37,*,I,,B31,,B41,,B33,,5,4,0,9,N
Pick 3 Evening,10,1,2013,2,H,*,B43,*,B38,*,B37,*,I,,B31,,B41,,B33,,9,5,2,16,N
Pick 3 Evening,10,1,2013,3,H,*,B43,*,B38,*,B37,*,I,,B31,,B41,,B33,,1,3,0,4,N
Pick 3 Evening,10,1,2013,4,H,*,B43,*,B38,*,B37,*,I,,B31,,B41,,B33,,7,5,8,20,N
Pick 3 Evening,10,2,2013,1,H,*,B45,*,B36,*,B37,*,I,,B32,,B33,,B35,,2,1,6,9,N
Pick 3 Evening,10,2,2013,2,H,*,B45,*,B36,*,B37,*,I,,B32,,B33,,B35,,7,1,9,17,N
Pick 3 Evening,10,2,2013,3,H,*,B45,*,B36,*,B37,*,I,,B32,,B33,,B35,,2,1,7,10,N
Pick 3 Evening,10,2,2013,4,H,*,B45,*,B36,*,B37,*,I,,B32,,B33,,B35,,7,3,2,12,N
Pick 3 Evening,10,3,2013,1,H,*,B39,*,B45,*,B40,*,I,,B31,,B44,,B32,,9,5,6,20,N
Pick 3 Evening,10,3,2013,2,H,*,B39,*,B45,*,B40,*,I,,B31,,B44,,B32,,5,5,1,11,N
Pick 3 Evening,10,3,2013,3,H,*,B39,*,B45,*,B40,*,I,,B31,,B44,,B32,,8,9,9,26,N
Pick 3 Evening,10,3,2013,4,H,*,B39,*,B45,*,B40,*,I,,B31,,B44,,B32,,7,6,4,17,N
Pick 3 Evening,10,4,2013,1,H,*,B45,*,B44,*,B41,*,I,,B36,,B43,,B40,,6,7,8,21,N
Pick 3 Evening,10,4,2013,2,H,*,B45,*,B44,*,B41,*,I,,B36,,B43,,B40,,3,2,1,6,N
Pick 3 Evening,10,4,2013,3,H,*,B45,*,B44,*,B41,*,I,,B36,,B43,,B40,,7,9,0,16,N
Pick 3 Evening,10,4,2013,4,H,*,B45,*,B44,*,B41,*,I,,B36,,B43,,B40,,9,3,4,16,N
Pick 3 Evening,10,5,2013,1,H,*,B38,*,B41,*,B36,*,I,,B43,,B42,,B39,,7,4,7,18,N
Pick 3 Evening,10,5,2013,2,H,*,B38,*,B41,*,B36,*,I,,B43,,B42,,B39,,3,4,2,9,N
